Wavelength,Emissivity
5.0,0.0
5.01,0.0
5.02,0.0
5.029999999999999,0.0
5.039999999999999,0.0
5.049999999999999,0.0
5.059999999999999,0.0
5.0699999999999985,0.0
5.079999999999998,0.0
5.089999999999998,0.0
5.099999999999998,0.0
5.109999999999998,0.0
5.119999999999997,0.0
5.129999999999997,0.0
5.139999999999997,0.0
5.149999999999997,0.0
5.159999999999997,0.0
5.169999999999996,0.0
5.179999999999996,0.0
5.189999999999996,0.0
5.199999999999996,0.0
5.2099999999999955,0.0
5.219999999999995,0.0
5.229999999999995,0.0
5.239999999999995,0.0
5.249999999999995,0.0
5.2599999999999945,0.0
5.269999999999994,0.0
5.279999999999994,0.0
5.289999999999994,0.0
5.299999999999994,0.0
5.309999999999993,0.0
5.319999999999993,0.0
5.329999999999993,0.0
5.339999999999993,0.0
5.3499999999999925,0.0
5.359999999999992,0.0
5.369999999999992,0.0
5.379999999999992,0.0
5.389999999999992,0.0
5.3999999999999915,0.0
5.409999999999991,0.0
5.419999999999991,0.0
5.429999999999991,0.0
5.439999999999991,0.0
5.44999999999999,0.0
5.45999999999999,0.0
5.46999999999999,0.0
5.47999999999999,0.0
5.4899999999999896,0.0
5.499999999999989,0.0
5.509999999999989,0.0
5.519999999999989,0.0
5.529999999999989,0.0
5.5399999999999885,0.0
5.549999999999988,0.0
5.559999999999988,0.0
5.569999999999988,0.0
5.579999999999988,0.0
5.589999999999987,0.0
5.599999999999987,0.0
5.609999999999987,0.0
5.619999999999987,0.0
5.629999999999987,0.0
5.639999999999986,0.0
5.649999999999986,0.0
5.659999999999986,0.0
5.669999999999986,0.0
5.6799999999999855,0.0
5.689999999999985,0.0
5.699999999999985,0.0
5.709999999999985,0.0
5.719999999999985,0.0
5.729999999999984,0.0
5.739999999999984,0.0
5.749999999999984,0.0
5.759999999999984,0.0
5.769999999999984,0.0
5.779999999999983,0.0
5.789999999999983,0.0
5.799999999999983,0.0
5.809999999999983,0.0
5.8199999999999825,0.0
5.829999999999982,0.0
5.839999999999982,0.0
5.849999999999982,0.0
5.859999999999982,0.0
5.8699999999999815,0.0
5.879999999999981,0.0
5.889999999999981,0.0
5.899999999999981,0.0
5.909999999999981,0.0
